station_name,full_price_tickets,reduced_price_tickets,season_tickets,total_entries_exits,interchanges,region,nlc_code,tlc_code
Bradford Forster Square,484610,629400,311856,1425866,34252,Yorkshire and The Humber,8346,BDQ
Bradford Interchange,572802,1431550,324534,2328886,87687,Yorkshire and The Humber,8345,BDI
Bradford-On-Avon,204406,255016,27384,486806,4805,South West,3341,BOA
Brading,3108,11682,1332,16122,0,South East,5530,BDN
Braintree,151664,234310,189508,575482,0,East of England,6801,BTR
Braintree Freeport,41518,62598,20086,124202,0,East of England,2053,BTP
Bramhall,49768,110468,26550,186786,0,North West,2944,BML
Bramley (Hampshire),58198,141862,41428,241488,0,South East,5500,BMY
Bramley (West Yorkshire),123746,115338,58000,297084,0,Yorkshire and The Humber,8496,BLE
Brampton (Cumbria),1802,11882,26,13710,0,North West,7565,BMP
Brampton (Suffolk),3500,6714,1706,11920,0,East of England,7259,BRP
Branchton,39392,60964,9548,109904,0,Scotland,9938,BCN
Brandon,43522,66594,9184,119300,0,East of England,7200,BND
Branksome,60518,161118,13728,235364,0,South West,5875,BSM
Braystones,184,1348,0,1532,0,North West,2045,BYS
Bredbury,58402,99690,35330,193422,0,North West,2779,BDY
Breich,3254,2452,330,6036,0,Scotland,9251,BRC
Brent Cross West,40122,76338,23806,140266,0,London,7777,BCZ
Brentford,393576,380844,209260,983680,0,London,5552,BFD
Brentwood,1445326,1896180,371528,3713034,0,East of England,6872,BRE
Bricket Wood,9284,11198,2752,23234,0,East of England,1560,BWO
Bridge Of Allan,145372,113356,8322,267050,0,Scotland,9889,BEA
Bridge Of Orchy,5094,2192,0,7286,0,Scotland,8823,BRO
Bridgend,670618,432642,175074,1278334,59079,Wales,3809,BGN
Bridgeton,250568,438396,78720,767684,0,Scotland,9789,BDG
Bridgwater,133846,288080,20262,442188,0,South West,3449,BWT
Bridlington,45792,422666,23396,491854,1055,Yorkshire and The Humber,8049,BDT
Brierfield,10314,16104,3540,29958,0,North West,2554,BRF
Brigg,200,818,0,1018,0,Yorkshire and The Humber,6464,BGG
Brighouse,102778,232080,32902,367760,47397,Yorkshire and The Humber,8514,BGH
Brighton,2968120,10140904,1438626,14547650,980746,South East,5268,BTN
Brimsdown,367966,554772,128426,1051164,0,London,6810,BMD
Brinnington,28654,48594,22152,99400,0,North West,2603,BNT
Bristol Parkway,334330,1669282,65538,2069150,901993,South West,3230,BPW
Bristol Temple Meads,2621920,7153686,451582,10227188,1498094,South West,3231,BRI
Brithdir,9126,444,2692,12262,0,Wales,4012,BHD
Briton Ferry,19610,8450,3214,31274,0,Wales,4187,BNF
Brixton,271592,346070,164180,781842,0,London,5081,BRX
Broad Green,156198,125046,83644,364888,0,North West,2240,BGE
Broadbottom,53456,40708,26208,120372,0,North West,2892,BDB
Broadstairs,123372,476454,113684,713510,0,South East,5006,BSR
Brockenhurst,219320,493648,125420,838388,216713,South East,5886,BCU
Brockholes,10772,22364,2504,35640,0,Yorkshire and The Humber,8429,BHS
Brockley,1116104,2127892,426468,3670464,0,London,5404,BCY
Bromborough,232864,235556,110906,579326,0,North West,2190,BOM
Bromborough Rake,73372,102484,51832,227688,0,North West,2191,BMR
Bromley Cross (Lancs),74170,137642,51838,263650,0,North West,2697,BMC
Bromley North,78808,89672,33024,201504,0,London,5096,BMN
Bromley South,1913436,3148674,922618,5984728,852825,London,5064,BMS
Bromsgrove,270516,197730,123404,591650,0,West Midlands,4715,BMV
Brondesbury,645990,1226812,531960,2404762,0,London,1437,BSY
Brondesbury Park,355740,516736,141750,1014226,0,London,1438,BSP
Brookmans Park,113038,116540,19078,248656,0,East of England,6074,BPK
Brookwood,320592,310476,153390,784458,47009,South East,5687,BKO
Broome,920,380,0,1300,0,West Midlands,4175,BME
Broomfleet,54,830,10,894,0,Yorkshire and The Humber,8050,BMF
Brora,4758,1232,0,5990,0,Scotland,8618,BRA
Brough,50044,400186,22814,473044,8860,Yorkshire and The Humber,8051,BUH
Broughty Ferry,92038,30808,1426,124272,0,Scotland,9023,BYF
Broxbourne,634728,830434,159668,1624830,348293,East of England,6812,BXB
Bruce Grove,390812,756502,240512,1387826,0,London,6958,BCV
Brundall,36342,52610,11600,100552,1093,East of England,7289,BDA
Brundall Gardens,7108,8306,3832,19246,0,East of England,7006,BGA
Brunstane,88136,70402,4164,162702,0,Scotland,8807,BSU
Brunswick,318904,313658,241120,873682,0,North West,3623,BRW
Bruton,19340,29292,2398,51030,0,South West,5702,BRU
Bryn,41260,47740,9146,98146,0,North West,2222,BYN
Buckenham,40,198,122,360,0,East of England,7290,BUC
Buckley,24122,2176,456,26754,0,Wales,2422,BCK
Bucknell,2060,812,392,3264,0,West Midlands,4182,BUK
Buckshaw Parkway,102410,194402,44380,341192,0,North West,7501,BSV
Bugle,1224,4964,154,6342,0,South West,3502,BGL
Builth Road,2502,2136,0,4638,0,Wales,4317,BHR
Bulwell,35436,16910,12952,65298,0,East Midlands,1865,BLW
Bures,16068,19050,11194,46312,0,East of England,7085,BUE
Burgess Hill,343684,791608,403156,1538448,0,South East,5483,BUG
Burley Park,194184,389294,55132,638610,0,Yorkshire and The Humber,8500,BUY
Burley-In-Wharfedale,167406,138726,186250,492382,0,Yorkshire and The Humber,8565,BUW
Burnage,41910,101938,16516,160364,0,North West,2945,BNA
Burneside (Cumbria),1970,18534,1736,22240,0,North West,1975,BUD
Burnham (Buckinghamshire),507808,788200,270068,1566076,0,South East,3176,BNM
Burnham-On-Crouch,66614,78046,48522,193182,0,East of England,6873,BUU
Burnley Barracks,7694,17292,4044,29030,0,North West,2743,BUB
Burnley Central,28058,49950,16248,94256,5,North West,2550,BNC
Burnley Manchester Road,168564,316230,36096,520890,13195,North West,2549,BYM
Burnside (South Lanarkshire),67778,132332,15572,215682,0,Scotland,9767,BUI
Burntisland,68864,101684,9990,180538,0,Scotland,9107,BTS
Burscough Bridge,65546,75004,26918,167468,0,North West,2279,BCB
Burscough Junction,19450,24382,4114,47946,0,North West,2280,BCJ
Bursledon,15876,35318,7352,58546,0,South East,5927,BUO
Burton Joyce,6900,3760,354,11014,0,East Midlands,6200,BUJ
Burton-On-Trent,192524,482670,29898,705092,12603,West Midlands,1658,BUT
Bury St Edmunds,293226,456628,84890,834744,804,East of England,7008,BSE
Busby,51880,76948,7560,136388,0,Scotland,9791,BUS
Bush Hill Park,452518,620346,71026,1143890,0,London,6913,BHK
Bushey,479590,622370,55510,1157470,0,East of England,1395,BSH
Butlers Lane,43656,65492,58992,168140,0,West Midlands,1179,BUL
Buxted,30606,41552,23406,95564,0,South East,5324,BXD
Buxton,22332,304618,21926,348876,0,East Midlands,2946,BUX
Byfleet and New Haw,140106,172432,56804,369342,0,South East,5689,BFN
Bynea,1034,950,6,1990,0,Wales,4124,BYE
Cadoxton,221910,12920,63276,298106,0,Wales,3811,CAD
Caergwrle,7200,1134,1408,9742,0,Wales,2536,CGW
Caerphilly,442532,34770,91642,568944,0,Wales,3812,CPH
Caersws,22000,23376,3760,49136,0,Wales,4412,CWS
Caldercruix,27186,35184,7788,70158,0,Scotland,992,CAC
Caldicot,58574,8898,6390,73862,0,Wales,3680,CDT
